LOGO_ID,TEAM_NAME,URL
lg043,Bayer Leverkusen,https://upload.wikimedia.org/wikipedia/pt/a/a2/Bayer_Leverkusen.png
lg044,Crvena Zvezda,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/FK_Crvena_Zvezda_Logo.svg/2048px-FK_Crvena_Zvezda_Logo.svg.png
lg045,Dinamo Zagreb,https://upload.wikimedia.org/wikipedia/fr/thumb/d/d9/Logo_GNK_Dinamo_Zagreb_2024.svg/1200px-Logo_GNK_Dinamo_Zagreb_2024.svg.png
lg046,Galatasaray,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Galatasaray_4_Sterne_Logo.svg/1200px-Galatasaray_4_Sterne_Logo.svg.png
lg047,KRC Genk,https://upload.wikimedia.org/wikipedia/pt/4/45/Racing_Genk_%282016%29.png
lg048,Olympique Lyon,https://upload.wikimedia.org/wikipedia/pt/6/6d/Olympique_lyonnais.png
lg049,Slavia Praha,https://upload.wikimedia.org/wikipedia/commons/9/90/Slavia-symbol-nowordmark-RGB.png
lg050,SSC Napoli,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/SSC_Napoli.svg/2048px-SSC_Napoli.svg.png
lg051,Tottenham Hotspur,https://upload.wikimedia.org/wikipedia/pt/6/6d/Tottenham_Hotspur.png
lg052,Valencia CF,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Valenciacf.svg/1200px-Valenciacf.svg.png
lg053,1899 Hoffenheim,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Logo_TSG_Hoffenheim.svg/1200px-Logo_TSG_Hoffenheim.svg.png
lg054,AEK Athen,https://upload.wikimedia.org/wikipedia/pt/4/4a/AEK_Atenas.png
lg055,AS Monaco,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/LogoASMonacoFC2021.svg/1200px-LogoASMonacoFC2021.svg.png
lg056,AS Roma,https://upload.wikimedia.org/wikipedia/pt/8/8c/AS_Roma_logo.png
lg057,CSKA Moskva,https://upload.wikimedia.org/wikipedia/pt/thumb/1/17/PFC_CSKA.svg/800px-PFC_CSKA.svg.png
lg058,FC Schalke 04,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FC_Schalke_04_Logo.svg/1200px-FC_Schalke_04_Logo.svg.png
lg059,PSV Eindhoven,https://upload.wikimedia.org/wikipedia/pt/c/ca/PSV_Eindhoven_escudo.png
lg060,Viktoria Plzeň,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Viktoria_Plzen_logo.svg/1200px-Viktoria_Plzen_logo.svg.png
lg061,APOEL Nikosia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/APOEL_%28logo_with_stars%29.svg/1200px-APOEL_%28logo_with_stars%29.svg.png
lg062,Celtic FC,https://upload.wikimedia.org/wikipedia/pt/3/39/Celtic_FC_logo.png
lg063,FC Basel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/FC_Basel.png/170px-FC_Basel.png
lg064,Feyenoord,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Feyenoord_logo_since_2024.svg/1200px-Feyenoord_logo_since_2024.svg.png
lg065,NK Maribor,https://upload.wikimedia.org/wikipedia/pt/0/0e/NKMaribor.png
lg066,Qarabağ FK,https://upload.wikimedia.org/wikipedia/pt/0/01/Qaraba%C4%9F_Futbol_Klubu_logo.png
lg067,RSC Anderlecht,https://upload.wikimedia.org/wikipedia/pt/4/4f/RSC_Anderlecht_logo.png
lg068,Spartak Moskva,https://upload.wikimedia.org/wikipedia/fr/thumb/9/93/FC_Spartak_Moscow_crest.svg/1200px-FC_Spartak_Moscow_crest.svg.png
lg069,Arsenal FC,https://upload.wikimedia.org/wikipedia/pt/thumb/5/53/Arsenal_FC.svg/1200px-Arsenal_FC.svg.png
lg070,FC København,https://upload.wikimedia.org/wikipedia/pt/e/ea/FC_K%C3%B8benhavn.png
lg071,FK Rostov,https://upload.wikimedia.org/wikipedia/pt/3/38/Rostov.png
lg072,Legia Warszawa,https://upload.wikimedia.org/wikipedia/commons/a/a4/Legia_Warsaw_logo.png
lg073,Leicester City,https://upload.wikimedia.org/wikipedia/pt/0/0e/LeicesterCity_logo2014.png
lg074,PFC Ludogorets Razgrad,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/PFC_Ludogorets_Razgrad_logo.svg/1200px-PFC_Ludogorets_Razgrad_logo.svg.png
